,title,release_date,snippet,teaser_text,teaser_title,href
10,4.000 Freiwillige wollen an Corona-Impfstudie teilnehmen,2020-07-11T06:50:58Z," Antikörper und andere Abwehrzellen dagegen.
CureVac hatte nach der Mainzer Firma <em>BioNTech</em> als zweites deutsches Unternehmen die Genehmigung für eine klinische Studie zu einem möglichen Corona-Impfstoff",Für eine Corona-Impfstudie an Tübingens Uniklinik haben sich Tausende Freiwillige gemeldet. Laut RKI ist das Infektionsgeschehen in Deutschland weiter positiv.,4.000 Freiwillige wollen an Corona-Impfstudie teilnehmen,http://www.zeit.de/wissen/gesundheit/2020-07/tuebingen-coronavirus-impfstudie-freiwillige-uniklinik
11,Fünf Irrtümer über die Covid-Impfung,2020-07-09T15:57:05Z,". Einen ähnlichen Ansatz, nur mit mRNA statt DNA als Erbgutmolekül, nutzen auch die deutschen Biotech-Firmen CureVac und <em>BioNTech</em>. Andere Forscherinnen und Forscher setzen auf abgetötete Viren oder","Die Welt wartet auf einen Corona-Impfstoff – mit teils falschen Vorstellungen: Weder wird es nur eine Vakzine geben, noch wird sie wohl alle vor einer Infektion schützen.",Fünf Irrtümer über die Covid-Impfung,http://www.zeit.de/wissen/gesundheit/2020-07/corona-impfstoff-verfuegbarkeit-wirksamkeit-forschung-irrtuemer
12,Impfentwickler CureVac erhält EU-Darlehen von 75 Millionen Euro,2020-07-06T12:42:33Z," entwickelt haben.
Die EIB hatte vor Kurzem bereits dem deutschen Unternehmen <em>BioNTech</em> ein Darlehen von mehr als 100 Millionen Euro für seine Arbeit an einem Impfstoff zur Verfügung gestellt. Nach eigenen",Das Tübinger Unternehmen bekommt einen Kredit von der Europäischen Investitionsbank. Die Firma führt bereits erste klinische Studien mit ihrem Impfstoffkandidaten durch.,Impfentwickler CureVac erhält EU-Darlehen von 75 Millionen Euro,http://www.zeit.de/wirtschaft/unternehmen/2020-07/corona-impfstoff-europaeische-komission-curevac-darlehen
13,US-Firma Moderna meldet ersten Impfstoff-Erfolg,2020-07-15T06:29:50Z," es sich um einen sogenannten RNA-Impfstoff, der im Gegensatz zu DNA-Impfstoffen nicht in den Zellkern transportiert wird. Auch das Mainzer Pharmaunternehmen <em>BioNTech</em> und der US-Konzern Pfizer arbeiten",Die Biotechfirma will einen experimentellen Corona-Impfstoff an 30.000 Menschen testen. Tests an kleinen Gruppen hätten gute Ergebnisse ohne große Nebenwirkungen erzielt.,US-Firma Moderna meldet ersten Impfstoff-Erfolg,http://www.zeit.de/wissen/gesundheit/2020-07/coronavirus-impfstoff-moderna-studie-antikoerper
14,USA sichern sich 100 Millionen Impfdosen,2020-07-22T15:14:49Z,"Die USA haben beim deutschen Biotech-Unternehmen <em>BioNTech</em> und dem US-Konzern Pfizer Corona-Impfstoff für 1,95 Milliarden US-Dollar (1,68 Milliarden Euro) bestellt. Dafür sollen die beiden Unternehmen",Die US-Regierung bestellt bei Pfizer und BioNTech Impfstoff für fast zwei Milliarden US-Dollar. Auch andere Regierungen verhandeln bereits mit den Herstellern.,USA sichern sich 100 Millionen Impfdosen,http://www.zeit.de/wirtschaft/unternehmen/2020-07/corona-impfstoff-usa-bestellung-biontech-pfizer-pharmaindustrie
15,Die Welt-Impfung,2020-07-22T14:51:10Z," einem Zeitpunkt also, als Regierungen noch dem Irrglauben anhingen, das Virus lasse sich in China einsperren. Der Kopf des Mainzer Start-ups <em>BioNTech</em> ist einer der deutschen Hoffnungsträger in dieser",Weltweit erproben Forscher Impfstoffkandidaten gegen das Coronavirus. Es geht um Menschenleben und die Rückkehr zur Normalität – aber auch um Geld und Einfluss.,Das Warten auf die rettende Impfung,http://www.zeit.de/2020/31/coronavirus-impstoff-versuche-brasilien
16,Mehrere Corona-Impfstoffe liefern positive Ergebnisse,2020-07-20T15:57:09Z," von der US-Firma Pfizer und dem deutschen Unternehmen <em>BioNTech</em> entwickelt wurde. Auch ein von dem französischen Unternehmen Valneva erforschter Impfstoff gehört dazu. 
Mit dem Hersteller AstraZeneca",Laut einem Medienbericht zeigen gleich zwei Corona-Impfstoffe positive Testergebnisse. Der von der Oxford-Universität entwickelte Impfstoff könnte sogar zweifach wirken.,Mehrere Corona-Impfstoffe liefern positive Ergebnisse,http://www.zeit.de/wissen/gesundheit/2020-07/coronavirus-impfstoff-the-lancet-forschung-grossbritannien-china
17,So weit ist die Forschung an der Corona-Impfung,2020-07-20T11:06:04Z, T-Zellen. Die beiden deutschen Firmen <em>BioNTech</em> und CureVac arbeiten an sogenannten RNA-Impfstoffen. Allerdings ist bislang kein genbasierter Impfstoff für Menschen zugelassen. Wichtig seien hier auch,"Dass es bis Mitte 2021 erste Impfungen gegen Covid-19 gibt, hält die WHO für machbar. Es werden wohl mehrere marktreif – doch keiner wird die Pandemie ganz stoppen.",So weit ist die Forschung an der Corona-Impfung,http://www.zeit.de/wissen/gesundheit/2020-07/impfstoff-covid-19-antikoerper-infektionsschutz
18,Sanofi und GSK erhalten von den USA Milliarden für Corona-Impfstoff,2020-07-31T15:48:22Z," verschiedenen Arten von Technologien basieren"". An einem Impfstoff gegen das Coronavirus wird weltweit geforscht, unter anderem sind die deutschen Unternehmen <em>BioNTech</em> und CureVac daran beteiligt.
Die beiden",Mit einem Milliardendeal hat die US-Regierung sich mögliche Corona-Impfdosen gesichert. Aber auch die EU-Kommisison hat beim Pharmakonzern Sanofi Impfdosen reserviert.,Sanofi und GSK erhalten von den USA Milliarden für Corona-Impfstoff,http://www.zeit.de/wissen/gesundheit/2020-07/coronavirus-impfstoff-entwicklung-lieferung-usa-sanofi-glaxosmithkline-pharmaindustrie
19,RKI veröffentlicht versehentlich altes Strategiepapier,2020-08-12T15:10:07Z," beginnen. Damit wird Brasilien zum Testlabor der Welt: Erste Testreihen der Unternehmen AstraZeneca, Sinovac und <em>BioNTech</em>/Pfizer laufen bereits.",In dem Text war von einem möglichen Corona-Impfstoff im Herbst die Rede. Tatsächlich ist diese Einschätzung nicht mehr aktuell.,RKI veröffentlicht versehentlich altes Strategiepapier,http://www.zeit.de/wissen/gesundheit/2020-08/covid-19-corona-impfstoff-rki-verfuegbar-herbst-2020-pandemie
20,CureVac plant Tests von Corona-Impfstoff in Brasilien,2020-08-11T09:01:05Z," und <em>BioNTech</em>/Pfizer laufen bereits. 
Neben den USA ist Brasilien derzeit einer der Brennpunkte der Corona-Pandemie. Mehr als drei Millionen Menschen haben sich nach offiziellen Angaben mit dem","Testlabor Brasilien: Nach AstraZeneca, Sinovac und Pfizer will auch das Tübinger Unternehmen die Wirksamkeit seines Impfstoffs dort testen. Im Herbst soll es losgehen.",CureVac plant Tests von Corona-Impfstoff in Brasilien,http://www.zeit.de/wissen/2020-08/coronavirus-impfstoff-tests-brasilien-curevac-studie
21,Diese Impfstoffe sind zugelassen oder stehen kurz davor,2020-08-18T11:20:25Z,"Der Impfstoff von <em>BioNTech</em> und Pfizer war nur einer der ersten überhaupt, die gegen Covid-19 zugelassen wurden – zuerst in den USA, dann in weiteren Ländern und schließlich auch in der gesamten","Derzeit sind vier Impfstoffe gegen Covid-19 in der EU zugelassen. Welche Kandidaten könnten folgen, wie wirken sie und was ist sonst über sie bekannt? Ein Überblick",Diese Impfstoffe sind zugelassen oder stehen kurz davor,http://www.zeit.de/wissen/gesundheit/2020-08/impfstoffentwicklung-corona-impfstoff-klinische-phasen-forschung
22,Pharmafirma will eine Milliarde Corona-Impfdosen pro Jahr herstellen,2020-08-16T13:51:27Z,".
Zur Impfstoffentwicklung nutzt CureVac ebenso wie das Mainzer Unternehmen <em>BioNtech</em> die sogenannte RNA-Technologie. Der genetische Bauplan für modifizierte Virusbestandteile wird dabei in den Körper",Das Tübinger CureVac-Unternehmen will seinen Covid-Impfstoff in der ersten Jahreshälfte 2021 auf den Markt bringen. Für die Produktion ist eine Expansion geplant.,Pharmafirma will eine Milliarde Corona-Impfdosen pro Jahr herstellen,http://www.zeit.de/wissen/gesundheit/2020-08/curevac-corona-impfstoff-impfdosen-pharmaunternehmen-tuebingen
23,"""Wenn die Impfung zwölf Monate immun machen würde, wäre das großartig""",2020-08-27T04:50:54Z,".
ZEIT ONLINE: Modernas Impfstoff enthält auch weit mehr RNA als vergleichbare Impfstoffkandidaten von <em>BioNTech</em> und CureVac. Warum?
Zaks: Es ist schwer, die verschiedenen Technologien zu vergleichen. Schon","Moderna testet seinen Impfstoff in der letzten klinischen Phase. Der Chefmediziner erklärt, wie er wirken soll – und warum viele Nebenwirkungen ein gutes Zeichen sind.","""Wenn die Impfung zwölf Monate immun machen würde, wäre das großartig""",http://www.zeit.de/wissen/gesundheit/2020-08/corona-impfstoff-nebenwirkungen-immunitaet-coronavirus-moderna-biotech
24,CureVac erhält Millionenförderung vom Bund,2020-09-04T13:30:15Z," gestartet. Ende Juli hatte das Ministerium dann mitgeteilt, dass neben CureVac auch die Mainzer Firma <em>BioNTech</em> und das Unternehmen IDT Biologika aus Dessau-Roßlau ""von einem Expertenbeirat"" zur Förderung",Der Bund unterstützt die Forschung des Biotechunternehmens mit 252 Millionen Euro. Der Impfstoffkandidat von CureVac wird derzeit an gesunden Erwachsenen getestet.,CureVac erhält Millionenförderung vom Bund,http://www.zeit.de/wissen/gesundheit/2020-09/corona-impfstoff-curevac-millionenfoerderung-bund
25,Impfstoff-Studie von AstraZeneca nicht zum ersten Mal gestoppt,2020-09-10T15:24:16Z,-Kommission hat schon mit sechs Herstellern Gespräche geführt. Mit dem <em>Biontech</em>-Konkurrenten AstraZeneca gibt es bereits einen Vertrag über die Lieferung von bis zu 400 Millionen Impfstoff-Dosen.,Der Pharmakonzern hatte nach Erkrankung einer Probandin seine Studie ausgesetzt. Laut eines Medienberichts soll dies nicht der erste Prüffall gewesen sein.,Impfstoff-Studie von AstraZeneca nicht zum ersten Mal gestoppt,http://www.zeit.de/wirtschaft/unternehmen/2020-09/pharmakonzern-astrazeneca-corona-impfstoff-tests-studie-stopp
26,EU-Kommission will BioNTech 200 Millionen Impfdosen abnehmen,2020-09-09T11:49:49Z,"Die EU-Kommission will dem Mainzer Biotechnologie-Unternehmen <em>BioNTech</em> und seinem Partner, dem US-Konzern Pfizer, 200 Millionen Dosen eines potenziellen Corona-Impfstoffs abnehmen. Zusätzlich soll es",Die Europäische Kommission hat sich mit BioNTech auf den Erwerb eines potenziellen Corona-Impfstoffs geeinigt. Die Auslieferung könnte schon Ende 2020 starten.,EU-Kommission will BioNTech 200 Millionen Impfdosen abnehmen,http://www.zeit.de/wirtschaft/2020-09/corona-impfstoff-eu-kommission-biontech-impfstoffdosen
27,AstraZeneca setzt Tests von Corona-Impfstoff aus,2020-09-08T23:50:26Z," Covid-19-Impfstoffe geprüft und letztlich zugelassen werden könnten"", hieß es laut den Unternehmenschefs. Die beteiligten Firmen waren neben AstraZeneca <em>BioNTech</em>, GlaxoSmithKline, Johnson & Johnson, Merck",Eine der wichtigsten Impfstoffstudien steht vor Problemen: Ein Proband ist erkrankt. Weitere Tests werden vorerst gestoppt. Der Aktienkurs des Herstellers bricht ein.,AstraZeneca setzt Tests von Corona-Impfstoff aus,http://www.zeit.de/wirtschaft/unternehmen/2020-09/pharmaindustrie-astrazeneca-coronavirus-impfstoff
28,Impfstoff aus Neuss zu Tests am Menschen zugelassen,2020-09-08T17:23:32Z," Vektorimpfstoff, bei dem der Körper durch ein abgeschwächtes Virus dazu aufgefordert wird, eine Immunantwort auf das Virus Sars-CoV-2 zu produzieren.
Zuletzt erhielt das Biotechunternehmen <em>BioNTech</em> und ihr Partner","Der Impfstoff des Pharmaunternehmens Janssen ist zu einem Phase-II-Test zugelassen. In Deutschland kann nun untersucht werden, ob er wirksam, sicher und verträglich ist.",Impfstoff aus Neuss zu Tests am Menschen zugelassen,http://www.zeit.de/wissen/gesundheit/2020-09/coronavirus-impfstoff-neuss-janssen-phase-2-studie-zulassung
29,BioNTech und Pfizer starten Corona-Impfstoffstudie in Deutschland,2020-09-07T13:00:23Z,Das Biotechunternehmen <em>BioNTech</em> testet seinen potenziellen Coronavirus-Impfstoff nun auch in Deutschland. Vom zuständigen Paul-Ehrlich-Institut erhielten die Mainzer Firma und ihr Partner Pfizer,An rund 30.000 Menschen wird der Impfstoffkandidat mit dem Namen BNT162b2 derzeit getestet. Im Idealfall könnte schon im Oktober eine Zulassung beantragt werden.,BioNTech und Pfizer starten Corona-Impfstoffstudie in Deutschland,http://www.zeit.de/wirtschaft/unternehmen/2020-09/coronavirus-impfstoff-studie-biontech-pfizer-start-deutschland
30,BioNTech will Werk für mögliche Impfstoffproduktion übernehmen,2020-09-17T10:16:47Z,Das Mainzer Unternehmen <em>BioNTech</em> plant bereits für die Phase der Herstellung seines möglichen Corona-Impfstoffs und will hierzu die Produktionsstätte des Schweizer Pharmakonzerns Novartis in Marburg,Seit Anfang September testet BioNTech einen Impfstoffkandidaten. Im Falle eines Erfolges könnte das Unternehmen im ersten Halbjahr bis zu 250 Millionen Dosen herstellen.,BioNTech will Werk für mögliche Impfstoffproduktion übernehmen,http://www.zeit.de/wirtschaft/unternehmen/2020-09/coronavirus-impfstoff-biontech-pharmakonzern-werk-uebernahme
31,Impfkommission erwartet Zulassung mehrerer Corona-Impfstoffe,2020-09-16T05:17:06Z, Firmen mit 750 Millionen Euro unterstützen wird. Dabei sollen an das Mainzer Unternehmen <em>BioNtech</em> 375 Millionen Euro fließen und an den Tübinger Hersteller Curevac 230 Millionen Euro. Ferner soll die Firma,Im kommenden Jahr könnte es einen oder mehrere Corona-Impfstoffe geben. Laut der Impfkommission des RKI sollen davon zuerst Ältere und das Pflegepersonal profitieren.,Impfkommission erwartet Zulassung mehrerer Corona-Impfstoffe,http://www.zeit.de/wissen/gesundheit/2020-09/robert-koch-institut-impfkommission-coronavirus-impfstoff-zulassung
32,"""Es geht nicht darum, die Ersten zu sein""",2020-09-15T11:38:14Z, Impfstoffhersteller Fördermittel in Höhe von insgesamt 750 Millionen Euro. Gefördert wird die beschleunigte Impfstoffentwicklung des Tübinger Biotech-Unternehmens Curevac sowie der Mainzer Firma <em>BioNTech</em>. Als drittes,"Jens Spahn geht davon aus, dass der Corona-Impfstoff schneller entwickelt wird als je zuvor ein Mittel. Er mahnt aber: Sicherheit gehe vor Geschwindigkeit.","""Es geht nicht darum, die Ersten zu sein""",http://www.zeit.de/politik/deutschland/2020-09/corona-impfstoff-forschung-jens-spahn-anja-karliczek-foerderprogramm-pressekonferenz
33,Behörden genehmigen Tests mit drittem potenziellem Corona-Impfstoff,2020-10-02T10:59:20Z, Kandidaten der beiden Biotechfirmen <em>BioNtech</em> und Curevac genehmigt. Weltweit befinden sich laut Weltgesundheitsorganisation inzwischen bereits 41 potenzielle Impfstoffe in einer klinischen Prüfung. ZEIT ONLINE,"In Deutschland darf ein weiteres Team mit der klinischen Prüfung ihres Impfstoffs beginnen. Phase 1 startet mit 30 Freiwilligen, um so die Verträglichkeit zu prüfen.",Behörden genehmigen Tests mit drittem potenziellem Corona-Impfstoff,http://www.zeit.de/wissen/gesundheit/2020-10/coronavirus-impfstoff-test-paul-ehrlich-institut-zulassung-pocken-dzif
34,"Der Stoff, den alle wollen",2020-10-07T10:12:54Z,"Die Mainzer Pharmafirma <em>BioNTech</em> und der US-Konzern Pfizer machen Hoffnung auf die baldige Zulassung des ersten Impfstoffs gegen das Coronavirus. Ihre Vakzine sei zu über 90 Prozent wirksam, sagen",Der erste Corona-Impfstoff könnte bald verfügbar sein. Wie sichern sich Deutschland und die EU die nötigen Dosen? Und was wird das am Ende kosten?,"Der Stoff, den alle wollen",http://www.zeit.de/wirtschaft/2020-09/corona-impfstoff-verteilung-deutschland-usa-europa-immunitaet-impfpflicht
35,Zulassungsprozess für Impfstoffkandidat von BioNTech beginnt,2020-10-06T10:32:54Z,Der vom Mainzer Unternehmen <em>BioNTech</em> entwickelte Corona-Impfstoffkandidat geht in den Zulassungsprozess. Die europäische Arzneimittelbehörde EMA werde den Wirkstoff BNT162b2 in einem sogenannten,Als erstes deutsches Unternehmen wird die Mainzer Firma bei der europäischen Arzneimittelbehörde für diesen Prozess zugelassen. Nun muss sich der Wirkstoff bewähren.,Zulassungsprozess für Impfstoffkandidat von BioNTech beginnt,http://www.zeit.de/wissen/gesundheit/2020-10/corona-impfstoff-zulassung-biontech-coronavirus-pfizer
36,Erste Corona-Impfungen sollen Anfang 2021 beginnen,2020-10-23T11:25:34Z," möglich sein könnten und berief sich dabei auf Aussagen von Spahn während einer Videokonferenz der Gesundheitsminister der Länder. Spahn habe dort erklärt, die Firma <em>Biontech</em> aus Mainz stehe dicht vor der","Vielleicht Januar, Februar oder doch März: Das Bundesgesundheitsministerium will sich in puncto Impfungen nicht festlegen. Die Vorbereitungen laufen, wird versichert.",Erste Corona-Impfungen sollen Anfang 2021 beginnen,http://www.zeit.de/wissen/2020-10/coronavirus-impfstoff-deutschland-start-schutzimpfungen-2021-bundesgesundheitsministerium
37,"Ein Piks, ein Pflaster, eine Sehnsucht",2020-10-21T14:48:40Z," <em>BioNTech</em> und dem Pharmakonzern Pfizer, der andere von der Universität Oxford und Astra Zeneca – hat der Zulassungsprozess bereits begonnen. Doch vermutlich wird keines der Vakzine einen vollständigen Schutz","Ein Impfstoff soll die Corona-Pandemie beenden. Wann es ihn endlich geben wird, wer ihn zuerst bekommt und was bis dahin noch passieren muss",Warum das mit der Corona-Impfung noch dauert,http://www.zeit.de/2020/44/corona-impfstoff-covid-19-zulassung-immunisierung-infektionsschutz
38,"""Ich glaube, wir müssen uns sehr disziplinieren""",2020-10-19T04:09:32Z," Impfstoffen steht wohl kurz vor der Zulassung, etwa der von Moderna, der Uni Oxford oder <em>BioNTech</em>. Sie sind binnen kürzester Zeit entwickelt worden. Ist es möglich, dass auf diese Impfstoffe eine zweite Welle","Marylyn Addo entwickelt einen Covid-Impfstoff, versorgte viele Patienten. Was hat sie dabei gelernt? Wie es um die Behandlung steht und warum Addo optimistisch ist.","""Ich glaube, wir müssen uns sehr disziplinieren""",http://www.zeit.de/wissen/gesundheit/2020-10/marylyn-addo-coronavirus-ebola-spezialistin-covid-impfstoff-entwicklung-herbst
39,So schnell wie es eben geht,2020-10-28T12:57:31Z," Markt zu bringen. ""Lightspeed"", ""Lichtgeschwindigkeit"", nennt etwa das Mainzer Unternehmen <em>Biontech</em> sein Impfstoffprojekt, das es zusammen mit dem US-Pharmariesen Pfizer vorantreibt. Die Entwicklung wird","Weltweit suchen Forscher nach einem Corona-Impfstoff. Sie sind optimistisch, sagen aber auch: Vieles ist noch unklar. Zum Beispiel: Wie reagieren Ältere auf das Vakzin?",So schnell wie es eben geht,http://www.zeit.de/wissen/gesundheit/2020-10/corona-impfung-entwicklung-neuinfektionen-forschung-stand-impfstoff
40,BioNTech-Impfstoff steht in den USA kurz vor dem Masseneinsatz,2020-11-14T04:33:07Z,"Der vielversprechende Corona-Impfstoff des Mainzer Start-ups <em>BioNTech</em> könnte möglicherweise schon in wenigen Wochen vielerorts in den USA zum Einsatz kommen. Die US-Regierung hält das Impfserum, das",Das in Deutschland mitentwickelte Vakzin gilt als aussichtsreichster Kandidat für eine Notzulassung in den USA. Nur New York soll das Mittel vorerst nicht bekommen.,BioNTech-Impfstoff steht in den USA kurz vor dem Masseneinsatz,http://www.zeit.de/wissen/gesundheit/2020-11/biontech-impfstoff-zulassung-usa-coronavirus
41,Wie impft man einen Kontinent?,2020-11-12T05:01:20Z,"Am Montag hat die Mainzer Biotechnologiefirma <em>BioNTech</em> einen Corona-Impfstoff vorgestellt, der nach Angaben des Unternehmens sicher ist und zu 90 Prozent vor der Ansteckung schützt. Sehnsüchtig","Die Zulassung eines Corona-Impfstoffs naht, die EU arbeitet daran, wie er verteilt werden soll. Außerdem: Wofür steht die künftige US-Vizepräsidentin Kamala Harris?",Wie impft man einen Kontinent?,http://www.zeit.de/politik/2020-11/corona-impfstoff-verteilung-eu-strategie-nachrichtenpodcast
42,Impfen für Europa,2020-11-11T19:48:04Z,"-Kommissarin Stella Kyriakides aus Zypern der Deal mit den Impfstoffherstellern <em>BioNTech</em> und Pfizer, den die EU-Kommission am Mittwoch absegnete. Ein Deal über 300 Millionen erhoffte Impfdosen: Sie werden, so es",EU-Kommissionspräsidentin Ursula von der Leyen plant eine europäische Gesundheitsunion. Helfen soll ihr dabei der Impfstoff-Deal mit den Pharmafirmen BioNTech und Pfizer.,Impfen für Europa,http://www.zeit.de/politik/ausland/2020-11/eu-pandemiebekaempfung-impfstoff-coronavirus-ursula-von-der-leyen
43,Grund für vorsichtigen Optimismus,2020-11-11T16:31:04Z,-Kommission hat den Vertrag über den Corona-Impfstoff mit <em>BioNTech</em> und Pfizer gebilligt und sich 300 Millionen Impfstoffdosen gesichert. Die Wirtschaftsweisen haben heute ihren Bericht zur Wirtschaftslage,"Gesundheitsminister Jens Spahn beschreibt die langsamer steigenden Corona-Fälle als ""ermutigend"". Im Nachrichtenpodcast sprechen wir darüber, was das genau bedeutet.",Grund für vorsichtigen Optimismus,http://www.zeit.de/politik/2020-11/corona-pandemie-jens-spahn-wirtschaft-optimismus-nachrichtenpodcast
44,Der gute Stoff,2020-11-11T15:53:05Z, wissenschaftlicher Klasse und unternehmerischem Wagemut. Schon im nächsten Jahr soll in den Marburger Behring-Werken der Corona-Impfstoff des Start-up-Unternehmens <em>BioNTech</em> gefertigt werden. Wenn die Produktion einmal,"Das Mainzer Start-up BioNTech hat Hoffnungen geweckt, dass die Pandemie bald beendet sein könnte. Doch nun geht nicht nur die Jagd nach dem Impfstoff erst richtig los.",Der gute Stoff,http://www.zeit.de/2020/47/biontech-corona-impfstoff-start-up-pandemie
