,title,release_date,snippet,teaser_text,teaser_title,href
10,Der Möchtegernimpfstoff,2020-08-11T15:57:34Z," meisten Impfstoffkandidaten, die Hoffnungen wecken – wie der Oxforder Vakzine (The Lancet: Folegatti et al., 2020), der des amerikanischen Biotechunternehmens <em>Moderna</em> (New England Journal of Medicine","Wladimir Putin verkündet, Russland habe einen Corona-Impfstoff. Steckt dahinter Nationalismus oder Zugzwang? Riskant ist es allemal: Die Vakzine ist unzureichend geprüft.",Der Möchtegernimpfstoff,http://www.zeit.de/wissen/gesundheit/2020-08/russland-corona-forschung-impfstoff-entwicklung-zulassung-wladimir-putin
11,Diese Impfstoffe sind zugelassen oder stehen kurz davor,2020-08-18T11:20:25Z, Europäischen Union. Die mRNA-Vakzine des US-Unternehmens <em>Moderna</em> schaffte es nun als zweites. Die Vektor-Impfstoffe von Forschenden der University of Oxford und AstraZeneca und dem Pharmakonzern Johnson,"Derzeit sind vier Impfstoffe gegen Covid-19 in der EU zugelassen. Welche Kandidaten könnten folgen, wie wirken sie und was ist sonst über sie bekannt? Ein Überblick",Diese Impfstoffe sind zugelassen oder stehen kurz davor,http://www.zeit.de/wissen/gesundheit/2020-08/impfstoffentwicklung-corona-impfstoff-klinische-phasen-forschung
12,"""Wenn die Impfung zwölf Monate immun machen würde, wäre das großartig""",2020-08-27T04:50:54Z,Kaum ein Impfstoff ist in klinischen Tests so weit fortgeschritten wie der des US-amerikanischen Biotechunternehmens <em>Moderna</em>. Seit Ende Juli läuft eine Phase-III-Studie. 30.000 Freiwillige in den USA,"Moderna testet seinen Impfstoff in der letzten klinischen Phase. Der Chefmediziner erklärt, wie er wirken soll – und warum viele Nebenwirkungen ein gutes Zeichen sind.","""Wenn die Impfung zwölf Monate immun machen würde, wäre das großartig""",http://www.zeit.de/wissen/gesundheit/2020-08/corona-impfstoff-nebenwirkungen-immunitaet-coronavirus-moderna-biotech
13,Er braucht den Stoff,2020-09-05T10:36:11Z," und stärker als je zuvor daraus hervorgehen!""
Die beiden Unternehmen, um deren Forschung es bei dem geplanten Start zum November geht – <em>Moderna</em> und Pfizer – basteln jedenfalls an einer Innovation, die",US-Präsident Donald Trump macht Druck bei der Entwicklung eines Corona-Impfstoffs. Pünktlich zur Wahl soll er verfügbar sein. Die Forscher aber bitten um mehr Zeit.,Er braucht den Stoff,http://www.zeit.de/politik/ausland/2020-09/coronavirus-usa-donald-trump-wahl-impfstoff-entwicklung
14,EU-Kommission will BioNTech 200 Millionen Impfdosen abnehmen,2020-09-09T11:49:49Z, <em>Moderna</em> erfolgreich abgeschlossen.,Die Europäische Kommission hat sich mit BioNTech auf den Erwerb eines potenziellen Corona-Impfstoffs geeinigt. Die Auslieferung könnte schon Ende 2020 starten.,EU-Kommission will BioNTech 200 Millionen Impfdosen abnehmen,http://www.zeit.de/wirtschaft/2020-09/corona-impfstoff-eu-kommission-biontech-impfstoffdosen
15,AstraZeneca setzt Tests von Corona-Impfstoff aus,2020-09-08T23:50:26Z,", <em>Moderna</em>, Novavax, Pfizer und Sanofi.
Vor allem in den USA ist die Zulassung eines Impfstoffs zuletzt immer mehr zu einem Politikum geworden. US-Präsident Donald Trump verspricht fast täglich, dass es bis",Eine der wichtigsten Impfstoffstudien steht vor Problemen: Ein Proband ist erkrankt. Weitere Tests werden vorerst gestoppt. Der Aktienkurs des Herstellers bricht ein.,AstraZeneca setzt Tests von Corona-Impfstoff aus,http://www.zeit.de/wirtschaft/unternehmen/2020-09/pharmaindustrie-astrazeneca-coronavirus-impfstoff
16,"""Ich glaube, wir müssen uns sehr disziplinieren""",2020-10-19T04:09:32Z," Impfstoffen steht wohl kurz vor der Zulassung, etwa der von <em>Moderna</em>, der Uni Oxford oder BioNTech. Sie sind binnen kürzester Zeit entwickelt worden. Ist es möglich, dass auf diese Impfstoffe eine zweite Welle","Marylyn Addo entwickelt einen Covid-Impfstoff, versorgte viele Patienten. Was hat sie dabei gelernt? Wie es um die Behandlung steht und warum Addo optimistisch ist.","""Ich glaube, wir müssen uns sehr disziplinieren""",http://www.zeit.de/wissen/gesundheit/2020-10/marylyn-addo-coronavirus-ebola-spezialistin-covid-impfstoff-entwicklung-herbst
17,BioNTech-Impfstoff steht in den USA kurz vor dem Masseneinsatz,2020-11-14T04:33:07Z," weitere Dosen zu bekommen.
Pfizer und BioNTech wollen dem Vernehmen nach noch im November bei der FDA eine Notfallzulassung beantragen. Die dürfte auch ein Impfstoff des US-Biotechunternehmens <em>Moderna</em>",Das in Deutschland mitentwickelte Vakzin gilt als aussichtsreichster Kandidat für eine Notzulassung in den USA. Nur New York soll das Mittel vorerst nicht bekommen.,BioNTech-Impfstoff steht in den USA kurz vor dem Masseneinsatz,http://www.zeit.de/wissen/gesundheit/2020-11/biontech-impfstoff-zulassung-usa-coronavirus
18,Der gute Stoff,2020-11-11T15:53:05Z," ist nicht das einzige Unternehmen, das mit großen Erfolgsaussichten an Impfstoffen arbeitet. <em>Moderna</em> aus den USA und AstraZeneca aus Großbritannien werden wohl auch bald Ergebnisse vorlegen können. Auch","Das Mainzer Start-up BioNTech hat Hoffnungen geweckt, dass die Pandemie bald beendet sein könnte. Doch nun geht nicht nur die Jagd nach dem Impfstoff erst richtig los.",Der gute Stoff,http://www.zeit.de/2020/47/biontech-corona-impfstoff-start-up-pandemie
19,BNT162b2 könnte der erste Corona-Impfstoff sein,2020-11-09T17:19:47Z," Ergebnisse von BioNTechs, aber auch die Impfstoffkandidaten von CureVac und <em>ModeRNA</em> nahe. Sie alle liegen in der Erprobung relativ weit vorn. Clemens Wendtner, der Chefarzt der Infektiologie der Schwabinger",Die Corona-Vakzine der Mainzer Firma BioNTech soll zu mehr als 90 Prozent vor Covid schützen. Experten sind zuversichtlich. Ihr Optimismus ist durchaus angebracht.,BNT162b2 könnte der erste Corona-Impfstoff sein,http://www.zeit.de/wissen/gesundheit/2020-11/biontech-corona-impfstoff-ansteckung-schutz-forschung
20,BioNTech meldet 90-prozentige Wirksamkeit von Impfstoff,2020-11-09T12:04:23Z, britische Arzneimittelhersteller AstraZeneca und der US-Biotechkonzern <em>Moderna</em> zum Kreis der führenden Unternehmen im Rennen um einen Impfstoff. Nach Schätzung der Weltgesundheitsorganisation WHO befinden,"Laut Zwischenergebnissen der Zulassungsstudie senkt der Impfkandidat der Mainzer Firma das Risiko, an Covid-19 zu erkranken, deutlich. Das wäre ein Durchbruch.",BioNTech meldet 90-prozentige Wirksamkeit von Impfstoff,http://www.zeit.de/wirtschaft/unternehmen/2020-11/corona-impfstoff-biontech-pfizer-usa-zulassungsantrag
21,BioNTech und Pfizer beantragen US-Notfallzulassung,2020-11-20T11:53:42Z," mRNA-Impfstoff von <em>Moderna</em>. Das Bostoner Unternehmen hatte Anfang der Woche positive Zwischenergebnisse verkündet, wonach sein Impfstoffkandidat eine Effektivität von mehr als 94 Prozent zeige. <em>Moderna</em>",Vor Tagen hatte ihr Impfstoff die Phase-3-Studie beendet. Jetzt wollen ihn die deutsche Pharmafirma und ihre US-Partner bei der US-Arzneimittelbehörde genehmigen lassen.,BioNTech und Pfizer beantragen US-Notfallzulassung,http://www.zeit.de/wissen/gesundheit/2020-11/biontech-und-pfizer-beantragen-us-zulassung-fuer-corona-impfstoff
22,BioNTechs Corona-Impfstoff hat Wirksamkeit von 95 Prozent,2020-11-18T17:00:47Z, stellen – genau wie auch anderen Zulassungsbehörden weltweit. Wie auch das US-Unternehmen <em>Moderna</em> und das britisch-schwedische Unternehmen AstraZeneca haben BioNTech und Pfizer das Rolling-Review-Verfahren,Die Impfung von BioNTech und Pfizer ist neuen Daten zufolge effektiver als gedacht. Sie soll auch ältere Menschen gut schützen – und keine ernsten Nebenwirkungen zeigen.,BioNTechs Corona-Impfstoff hat Wirksamkeit von 95 Prozent,http://www.zeit.de/wissen/gesundheit/2020-11/coronavirus-impfstoff-biontech-wirksamkeit-pandemie-startup
23,Was heißt denn hier normal?,2020-11-18T15:52:29Z,"-Pharmaunternehmen <em>Moderna</em> ähnliche Erfolge meldete.
Noch aber ist das Unternehmen von einem ""neuen Normal"" weit entfernt. Gerade erst wurde die Zentrale des Unternehmens am Frankfurter Flughafen in den ""Wintermodus","Auch wenn bald ein Impfstoff kommt, ist die Krise der Lufthansa noch lange nicht zu Ende. Drei Entwicklungen könnten ihr langfristig das Geschäft verderben.",Es wird nicht wieder wie früher,http://www.zeit.de/2020/48/lufthansa-corona-wirtschaftskrise-impfstoff-flugverkehr
24,Ein Hoch auf den Finanzkapitalismus,2020-11-18T15:51:27Z," nicht nur ein bahnbrechender Erfolg für die Forscher. Es wäre auch einer für die oft gescholtenen Finanzkapitalisten. BioNTech aus Mainz und <em>Moderna</em> aus Cambridge, Massachusetts, stehen möglicherweise mit","Ohne Investoren, die das Risiko lieben, gäbe es keinen Impfstoff.",Ein Hoch auf den Finanzkapitalismus,http://www.zeit.de/2020/48/coronavirus-impfstoff-investoren-wissenschaft-finanzkapitalismus
25,Noch ein neuer Impfstoff,2020-11-16T15:53:08Z,"Nach dem deutschen Unternehmen BioNTech hat heute ein weiteres Unternehmen positive Zwischenergebnisse vorgelegt, der US-amerikanische Konzern <em>Moderna</em>. Die Ergebnisse deuten darauf hin, dass der","Die Firma Moderna hat Zwischenergebnisse eines neuen Impfstoffs vorgelegt, die sehr vielversprechend aussehen. Was bedeutet das für unsere Rückkehr zur Normalität?",Noch ein neuer Impfstoff,http://www.zeit.de/politik/2020-11/corona-impfstoff-moderna-brexit-eu-handelsabkommen-nachrichtenpodcast
26,US-Firma Moderna meldet über 94-prozentige Impfstoff-Wirksamkeit,2020-11-16T12:11:32Z,Offenbar steht ein weiterer Covid-19-Impfstoff kurz vor dem Durchbruch. Die US-Biotechfirma <em>Moderna</em> hat positive Wirksamkeitsdaten ihres Impfstoffkandiaten mRNA-1273 vorgelegt. Dieser sei laut,"Nach BioNTech legt ein weiteres Unternehmen positive Zwischenergebnisse vor. Es gibt erste Hinweise, dass die Vakzine vor einem schweren Covid-19-Verlauf schützen könnte.",US-Firma Moderna meldet über 94-prozentige Impfstoff-Wirksamkeit,http://www.zeit.de/wissen/gesundheit/2020-11/corona-pandemie-impfstoff-us-firma-moderna-wirksamkeit-covid-19
27,"Ein Schnellschuss, der Vertrauen kostet",2020-11-27T18:59:52Z," Fätkenheuer.
Hinzu kommt, dass die Zahl der Studienteilnehmerinnen und -teilnehmer in der Präsentation der ersten Zwischenanalyse zu AZD1222 mit 11.636 vergleichsweise klein ist. Die Firmen BioNTech und <em>Moderna</em>","Ungenaue Wirksamkeitsangaben, Dosierungsfehler und missglückte PR: Die Präsentation des Impfstoffs von AstraZeneca ging schief. Dabei ist das Mittel vielversprechend.","Ein Schnellschuss, der Vertrauen kostet",http://www.zeit.de/wissen/gesundheit/2020-11/astrazeneca-corona-impfung-wirksamkeit-studie-vertrauen
28,Die undurchsichtigen Impfstoffverträge der EU,2020-11-27T04:58:11Z,Johnson & Johnson. Sanofi-GSK. AstraZeneca. BioNTech und Pfizer. CureVac. <em>Moderna</em>. Mit diesen Pharmaherstellern hat die Europäische Union bereits Verträge über die Lieferung eines möglichen Corona,"Die EU hat bereits mit sechs Herstellern Verträge über Impfstofflieferungen geschlossen. Fast niemand weiß, was drinsteht. Außerdem: Was macht Sergej Lawrow in Minsk?",Die undurchsichtigen Impfstoffverträge der EU,http://www.zeit.de/politik/2020-11/europaeische-union-impfstoff-vertraege-hersteller-nachrichtenpodcast
29,Die Rechnung für den Sieg über das Virus,2020-11-27T04:42:18Z, dem deutsch-niederländischen Impfstoffhersteller CureVac Mitte des Monats. Und nun in dieser Woche die Übereinkunft mit dem US-Biotech-Unternehmen <em>Moderna</em>. Drei weitere Impfstoffverträge unterzeichnete,Die EU schließt einen Impfstoffvertrag nach dem anderen. Ist das der Durchbruch gegen Corona? Kritiker warnen vor ausufernden Kosten und dem Einfluss der Pharmaindustrie.,Die Rechnung für den Sieg über das Virus,http://www.zeit.de/politik/ausland/2020-11/corona-impfstoff-vertraege-eu-kommission-pandemie-pharma-industrie
30,EU schließt Impfstoff-Vertrag auch mit Moderna ab,2020-11-24T16:55:18Z,"Die EU-Kommission wird einen weiteren Vertrag über die Lieferung eines Corona-Impfstoffs schließen. Wie EU-Kommissionspräsidentin Ursula von der Leyen mitteilte, soll das US-Unternehmen <em>Moderna</em> ""bis",Die Vakzine des US-Konzerns zählen zu den aussichtsreichsten – und sind künftig auch in der EU zu haben. Die Brüsseler Kommission schließt den sechsten Impfstoffvertrag.,EU schließt Impfstoff-Vertrag auch mit Moderna ab,http://www.zeit.de/wirtschaft/2020-11/corona-impfstoff-eu-moderna-pharmakonzern
31,Auch AstraZeneca meldet Studienerfolg für hauseigenen Impfstoff,2020-11-23T14:42:34Z," Prozent. Das teilte der Pharmakonzern nun mit. Eine mit knapp 95 Prozent noch etwas höher liegende Effektivität hatten vergangene Woche die Mitbewerber Biontech und Pfizer sowie <em>Moderna</em> gemeldet.
Bei",Auf der Suche nach einem Corona-Impfstoff erzielten nun auch AstraZeneca und die Uni Oxford einen Durchbruch: Beide meldeten eine Wirksamkeit von bis zu 90 Prozent.,Auch AstraZeneca meldet Studienerfolg für hauseigenen Impfstoff,http://www.zeit.de/wissen/gesundheit/2020-11/corona-impfstoff-astrazeneca-wirksamkeit-biontech-pfizer-curevac
32,Eine Frage der Kühlung,2020-11-23T13:43:22Z,"Eine gute Nachricht nach der anderen: Erst präsentierte die Firma Biontech aus Mainz hervorragende Studiendaten für ihren Impfstoff, dann die Firma <em>Moderna</em> aus Boston. Bis zu 95 Prozent wirksam","Der erste Corona-Impfstoff, den Deutschland bekommen soll, muss in Super-Kühlschränken bei minus 70 Grad eingefroren werden. Wird das zum Problem bei der Verteilung?",Eine Frage der Kühlung,http://www.zeit.de/wissen/gesundheit/2020-11/corona-impfstoff-kuehlung-temperatur-trockeneis-biontech
33,Zweifel an Lockerungen über die Feiertage nehmen zu,2020-12-05T17:00:18Z," mit einer ""gewissen Wahrscheinlichkeit"" bis zur Jahresmitte zugelassen würden. Dazu zählte er neben den Entwicklungen von BioNtech/Pfizer und <em>Moderna</em> auch die Produkte von Curevac, AstraZeneca sowie","Fünf Wochen dauert der Teil-Lockdown – doch die Infektionszahlen gehen nicht zurück. Mehrere Politiker fordern, die Lockerungen über die Feiertage wieder zurückzunehmen.",Zweifel an Lockerungen über die Feiertage nehmen zu,http://www.zeit.de/politik/deutschland/2020-12/kontaktbeschraenkungen-deutschland-union-spd-lockerungen-feiertage
34,Sie bedienen die Sehnsucht nach Solidität,2020-12-04T05:19:40Z,". In den USA haben sowohl Pfizer als auch <em>Moderna</em> Zulassungen beantragt. Doch bis Impfstoff flächendeckend verfügbar sein wird, werden Monate vergehen. Biden warb dafür, dass der Kongress das dringend","Auftritt als Team: In ihrem ersten Fernsehinterview seit der Wahl zeigen Joe Biden und Kamala Harris, wie sie die USA führen wollen. Konkret werden sie beim Thema Corona.",Sie bedienen die Sehnsucht nach Solidität,http://www.zeit.de/politik/ausland/2020-12/joe-biden-kamala-harris-interview-cnn-us-wahl
35,So läuft jetzt die Impfstoffprüfung,2020-12-03T04:23:44Z,"-Unternehmen <em>Moderna</em> mit seiner mRNA-Vakzine), geht es um eine bedingte Marktzulassung – von der Ema ""conditional marketing authorisation"" genannt. Sie wird erteilt, wenn Arzneien ein bisher ungelöstes","Warum lässt Großbritannien den BioNTech-Impfstoff schon zu, während die EU noch prüft? Und wie lange brauchen die europäischen Behörden? Das ist der Plan zur Zulassung.",So läuft jetzt die Impfstoffprüfung,http://www.zeit.de/wissen/gesundheit/2020-12/corona-pandemie-impfstoff-zulassung-pruefung-sicherheit-wirksamkeit
36,"Hauptsache, cool bleiben",2020-12-02T16:16:33Z," Verschickung empfindlicher Medikamente.
Zu Beginn dieser Woche haben die Pharmafirmen BioNTech/Pfizer und <em>Moderna</em> bei der EU die Zulassung der zwei ersten Corona-Impfstoffe beantragt, ein drittes Mittel ist","Nicht nur Zoom und Amazon profitieren von der Corona-Krise: zu Besuch bei einem Mittelständler, der Kühlboxen für die Impfstoffe baut – und nun Weihnachten durcharbeitet.","Hauptsache, cool bleiben",http://www.zeit.de/wirtschaft/2020-12/va-q-tec-corona-impfstoff-logistik-kuehlcontainer
37,Großbritannien lässt Impfstoff von BioNTech und Pfizer zu,2020-12-02T07:09:20Z," bis zu 300 Millionen Impfdosen gesichert.
Am Montag hatte auch der US-Konzern <em>Moderna</em> eine Zulassung für seinen Corona-Impfstoff bei der Ema beantragt. Über diesen Antrag will die Ema bis zum 12. Januar",Die Mainzer Firma und ihr US-Partnerkonzern können ihren Impfstoff im ersten Land überhaupt anbieten: Die Regierung in London gab ihrem Antrag auf die Notzulassung statt.,Großbritannien lässt Impfstoff von BioNTech und Pfizer zu,http://www.zeit.de/wissen/gesundheit/2020-12/impfstoff-biontech-pfizer-grossbritannien-zulassung
38,Impfstoffhoffnung allein reicht nicht,2020-12-02T04:34:35Z,", zu organisieren. Die Verantwortung dafür liegt bei der Bundesregierung, die Logistik jedoch ist kompliziert. Mit Pfizer und <em>Moderna</em> haben zwei Unternehmen eine Zulassung für ihren jeweiligen Impfstoff","Menschen in Pflegeeinrichtungen, Ärzte und Schwestern sollen in den USA zuerst geimpft werden. Doch die Logistik ist kompliziert. Und die Lage wird immer dramatischer.",Impfstoffhoffnung allein reicht nicht,http://www.zeit.de/politik/ausland/2020-12/coronavirus-usa-impfungen-pfizer-moderna-cdc-logistik-donald-trump
39,Die Brexiteers entdecken Corona,2020-12-01T14:42:09Z," Impfprogramm starten kann. Die Regierung hat insgesamt 357 Millionen Impfdosen bestellt, darunter 100 Millionen Dosen von AstraZeneca, 40 Millionen von Pfizer und BioNTech und sieben Millionen von <em>Moderna</em>. 
Die",Boris Johnson hat ein Problem: Rechte Konservative wollen neue Corona-Beschränkungen für Großbritannien im Parlament verhindern. Jetzt hofft der Premier auf den Impfstoff,Die Brexiteers entdecken Corona,http://www.zeit.de/politik/ausland/2020-12/corona-krise-grossbritannien-weihnachten-lockdown-wirtschaftskrise-boris-johnson
40,Die Mythen um den Corona-Impfstoff,2020-12-01T04:54:11Z,Gegen das Coronavirus könnte erstmals ein sogenannter mRNA-Impfstoff zugelassen werden. 90 Prozent oder mehr Schutz vor einer Erkrankung sollen die Corona-Impfstoffkandidaten von <em>Moderna</em> und Biontech,Sogenannte mRNA-Impfstoffe stehen kurz vor der Zulassung – und das bereits innerhalb eines Jahres. Doch wie sicher sind sie? Und: Eine Doku über Baseballschlägerjahre,Die Mythen um den Corona-Impfstoff,http://www.zeit.de/politik/2020-11/corona-impfungen-impfstoff-baseballschlaegerjahre-neonazis-dokumentation-nachrichtenpodcast
41,Moderna will noch heute EU-Zulassung für Corona-Impfstoff beantragen,2020-11-30T12:04:36Z,Der US-Pharmakonzern <em>Moderna</em> will als erstes Unternehmen die Zulassung für einen Corona-Impfstoff in der Europäischen Union beantragen. Der Antrag auf eine bedingte Zulassung solle im Laufe des Tages,Mit dem Antrag bei der Ema rückt auch eine Zulassung in Deutschland näher. Die EU-Kommission hat sich bereits 160 Millionen Impfdosen bei dem US-Unternehmen gesichert.,Moderna will noch heute EU-Zulassung für Corona-Impfstoff beantragen,http://www.zeit.de/wissen/gesundheit/2020-11/moderna-will-noch-heute-eu-zulassung-fuer-corona-impfstoff-beantragen
42,Der Erste seiner Art,2020-11-30T05:18:43Z,", indem sie eine Schutzschicht um die fragilen Erbgutmoleküle bauen, die sie in die Zelle transportiert. Diesen Weg haben die Unternehmen <em>Moderna</em> und BioNTech gewählt, die ihre Impfstoffe besonders schnell",Nie zuvor ist ein mRNA-Impfstoff zugelassen worden. Gegen Corona könnte es bald soweit sein. Wie sicher ist die Impfung und welche Nebenwirkungen sind zu erwarten?,Der Erste seiner Art,http://www.zeit.de/wissen/gesundheit/2020-11/impfstoffentwicklung-corona-impfstoff-erbgut-klinische-phasen-forschung
43,"Was die Impfung kann, die Deutschland bekommen soll",2020-12-12T04:01:11Z," Ergebnisse bisheriger Studien sind gemischt. Eine Studie an Rhesusaffen hat etwa der US-Konzern <em>Moderna</em> durchgeführt, dessen Impfstoff dem von BioNTech stark ähnelt (New England Journal of Medicine: Corbett et",Am 21. Dezember könnte Europa die erste Corona-Impfung zulassen. Dann kann in Deutschland geimpft werden. Wie gut schützt die Impfung und welche Nebenwirkungen gibt es?,"Was die Impfung kann, die Deutschland bekommen soll",http://www.zeit.de/wissen/gesundheit/2020-12/corona-impfstoff-biontech-usa-wirksamkeit-nebenwirkungen-europa-faq
44,Expertenstab der US-Arzneimittelbehörde empfiehlt BioNTech-Zulassung,2020-12-10T22:48:20Z, Vakzine abgeraten. In der EU läuft noch eine Prüfung. Auch die US-Firma <em>Moderna</em> hat in den USA eine Notfallzulassung für ihren Corona-Impfstoff beantragt. Darüber will das Expertengremium der FDA am,Der Corona-Impfstoff des Mainzer Unternehmens BioNTech und des US-Pharmakonzerns Pfizer steht auch in den USA kurz vor der Notzulassung. Spitzenberater stimmten dafür.,Expertenstab der US-Arzneimittelbehörde empfiehlt BioNTech-Zulassung,http://www.zeit.de/wissen/gesundheit/2020-12/beratergremium-der-us-arzneimittelbehoerde-empfiehlt-biontech-zulassung
45,Hacker greifen Daten über Pfizer-BioNTech-Impfstoff ab,2020-12-10T07:31:18Z," Sicherheit gemacht, sagte die Direktorin. Die Ema beurteilt unter anderem auch den Impfstoff des Pharmakonzerns <em>Moderna</em>. Dazu wird eine Entscheidung über die Zulassung für den 12. Januar erwartet","Die Europäische Arzneimittelbehörde ist von Hackern angegriffen worden. ""Einige Dokumente"" in Bezug auf den Corona-Impfstoff sind laut Pfizer und BioNTech betroffen.",Hacker greifen Daten über Pfizer-BioNTech-Impfstoff ab,http://www.zeit.de/wissen/gesundheit/2020-12/europaeische-arzneimittelbehoerde-hackerangriff-impfstoff-daten-biontech
