,title,release_date,snippet,teaser_text,teaser_title,href
10,RKI veröffentlicht versehentlich altes Strategiepapier,2020-08-12T15:10:07Z," beginnen. Damit wird Brasilien zum Testlabor der Welt: Erste Testreihen der Unternehmen <em>AstraZeneca</em>, Sinovac und BioNTech/Pfizer laufen bereits.",In dem Text war von einem möglichen Corona-Impfstoff im Herbst die Rede. Tatsächlich ist diese Einschätzung nicht mehr aktuell.,RKI veröffentlicht versehentlich altes Strategiepapier,http://www.zeit.de/wissen/gesundheit/2020-08/covid-19-corona-impfstoff-rki-verfuegbar-herbst-2020-pandemie
11,Der Möchtegernimpfstoff,2020-08-11T15:57:34Z," mögliche Corona-Impfstoff von <em>AstraZeneca</em> und der Universität Oxford beruht.
Am 18. Juni registrierte das Gamaleya-Institut eine erste Studie an Menschen auf der englischsprachigen Seite ClinicalTrials.gov","Wladimir Putin verkündet, Russland habe einen Corona-Impfstoff. Steckt dahinter Nationalismus oder Zugzwang? Riskant ist es allemal: Die Vakzine ist unzureichend geprüft.",Der Möchtegernimpfstoff,http://www.zeit.de/wissen/gesundheit/2020-08/russland-corona-forschung-impfstoff-entwicklung-zulassung-wladimir-putin
12,CureVac plant Tests von Corona-Impfstoff in Brasilien,2020-08-11T09:01:05Z," von CureVac, der Deutschen Presse-Agentur. Demnach soll die Studie im September oder Oktober beginnen.
Damit wird Brasilien zum Testlabor der Welt: Erste Testreihen der Unternehmen <em>AstraZeneca</em>, Sinovac","Testlabor Brasilien: Nach AstraZeneca, Sinovac und Pfizer will auch das Tübinger Unternehmen die Wirksamkeit seines Impfstoffs dort testen. Im Herbst soll es losgehen.",CureVac plant Tests von Corona-Impfstoff in Brasilien,http://www.zeit.de/wissen/2020-08/coronavirus-impfstoff-tests-brasilien-curevac-studie
13,EU unterzeichnet Vereinbarung über potenziellen Corona-Impfstoff,2020-08-20T14:21:41Z,""", sagte EU-Kommissionschefin Ursula von der Leyen. Die Kommission hat schon ähnliche Gespräche mit den Konzernen Sanofi-GSK, Johnson & Johnson und <em>AstraZeneca</em> geführt und mit <em>AstraZeneca</em> bereits eine",Laut CureVac geht es um einen Vertrag über 225 Millionen Dosen mit Option auf 180 Millionen weitere. Die EU verhandelt für ihre Impfstrategie mit mehreren Herstellern.,EU unterzeichnet Vereinbarung über potenziellen Corona-Impfstoff,http://www.zeit.de/wissen/gesundheit/2020-08/curevac-coronavirus-impfstoff-eu-covid-19-europa
14,Diese Impfstoffe sind zugelassen oder stehen kurz davor,2020-08-18T11:20:25Z, Europäischen Union. Die mRNA-Vakzine des US-Unternehmens Moderna schaffte es nun als zweites. Die Vektor-Impfstoffe von Forschenden der University of Oxford und <em>AstraZeneca</em> und dem Pharmakonzern Johnson,"Derzeit sind vier Impfstoffe gegen Covid-19 in der EU zugelassen. Welche Kandidaten könnten folgen, wie wirken sie und was ist sonst über sie bekannt? Ein Überblick",Diese Impfstoffe sind zugelassen oder stehen kurz davor,http://www.zeit.de/wissen/gesundheit/2020-08/impfstoffentwicklung-corona-impfstoff-klinische-phasen-forschung
15,"""Wenn die Impfung zwölf Monate immun machen würde, wäre das großartig""",2020-08-27T04:50:54Z," Viren bauen dann Teile von Sars-CoV-2 auf ihrer Oberfläche ein, auf die das menschliche Immunsystem reagieren kann. Es gibt Daten von anderen Adenovirus-Vektorimpfstoffen, vor allem von <em>AstraZeneca</em> und","Moderna testet seinen Impfstoff in der letzten klinischen Phase. Der Chefmediziner erklärt, wie er wirken soll – und warum viele Nebenwirkungen ein gutes Zeichen sind.","""Wenn die Impfung zwölf Monate immun machen würde, wäre das großartig""",http://www.zeit.de/wissen/gesundheit/2020-08/corona-impfstoff-nebenwirkungen-immunitaet-coronavirus-moderna-biotech
16,Quarantäne für Rückkehrer aus Risikogebieten soll kürzer werden,2020-09-04T14:53:40Z,". Spahn verwies darauf, dass bereits ein Vertrag für einen späteren Impfstoff mit der Firma <em>AstraZeneca</em> geschlossen worden sei.
Sieben Verträge mit weiteren Firmen und unterschiedlichen Technologien seien","Die EU hat sich laut Bundesgesundheitsminister Spahn auf eine Quarantäne von zehn Tagen geeinigt. Noch ist offen, ob ein negativer Test die Zeit weiter verkürzen könnte.",Quarantäne für Rückkehrer aus Risikogebieten soll kürzer werden,http://www.zeit.de/politik/2020-09/jens-spahn-quarantaenezeit-reiserueckkehrer-risikogebiete-verkuerzt-eu
17,Kommt die Impfung doch nicht so bald?,2020-09-11T15:59:41Z,Wie groß ist der Rückschlag im Kampf um den Impfstoff? In dieser Woche wurde bekannt: Die Tests des britisch-schwedischen Pharmakonzerns <em>AstraZeneca</em> wurden vorerst gestoppt. Der Kandidat gilt als,"Die Corona-Impfstoff-Tests des britisch-schwedischen Pharmakonzerns AstraZeneca sind vorerst gestoppt. Wir erklären, warum das nicht nur schlechte Nachrichten sind.",Kommt die Impfung doch nicht so bald?,http://www.zeit.de/wissen/gesundheit/2020-09/pharmakonzern-astrazeneca-corona-impfstoff-entwicklung-stopp-studie
18,Impfstoff-Studie von AstraZeneca nicht zum ersten Mal gestoppt,2020-09-10T15:24:16Z,Der britisch-schwedische Pharmakonzern <em>AstraZeneca</em> hat die klinische Studie für seinen Corona-Impfstoff nicht zum ersten Mal gestoppt. Dies berichtet die Nachrichtenwebsite Statnews unter Berufung,Der Pharmakonzern hatte nach Erkrankung einer Probandin seine Studie ausgesetzt. Laut eines Medienberichts soll dies nicht der erste Prüffall gewesen sein.,Impfstoff-Studie von AstraZeneca nicht zum ersten Mal gestoppt,http://www.zeit.de/wirtschaft/unternehmen/2020-09/pharmakonzern-astrazeneca-corona-impfstoff-tests-studie-stopp
19,EU-Kommission will BioNTech 200 Millionen Impfdosen abnehmen,2020-09-09T11:49:49Z," Coronavirus. Die EU-Kommission schloss bereits einen Liefervertrag mit <em>AstraZeneca</em>, vorbereitende Sondierungsgespräche wurden außerdem bereits mit den Unternehmen Sanofi-GSK, Johnson & Johnson, CureVac und",Die Europäische Kommission hat sich mit BioNTech auf den Erwerb eines potenziellen Corona-Impfstoffs geeinigt. Die Auslieferung könnte schon Ende 2020 starten.,EU-Kommission will BioNTech 200 Millionen Impfdosen abnehmen,http://www.zeit.de/wirtschaft/2020-09/corona-impfstoff-eu-kommission-biontech-impfstoffdosen
20,AstraZeneca setzt Tests von Corona-Impfstoff aus,2020-09-08T23:50:26Z,"Der Pharmakonzern <em>AstraZeneca</em> hat seine Studien zu einem möglichen Impfstoff gegen das Coronavirus vorübergehend gestoppt. Man müsse den Fall eines Patienten untersuchen, bei dem eine mögliche",Eine der wichtigsten Impfstoffstudien steht vor Problemen: Ein Proband ist erkrankt. Weitere Tests werden vorerst gestoppt. Der Aktienkurs des Herstellers bricht ein.,AstraZeneca setzt Tests von Corona-Impfstoff aus,http://www.zeit.de/wirtschaft/unternehmen/2020-09/pharmaindustrie-astrazeneca-coronavirus-impfstoff
21,EU reservierte bisher weniger Impfdosen als USA und Großbritannien,2020-09-06T08:37:53Z," als jede andere Industrienation.
Die EU-Kommission hat nach Angaben der Zeitung hingegen bisher nur einen Rahmenvertrag mit dem britisch-schwedischen Konzern <em>AstraZeneca</em> über 300 Millionen Impfdosen","Die US-Regierung hat Vorverträge mit sechs Unternehmen, Großbritannien auch, die EU nur mit einem Hersteller. Laut eines Zeitungsberichts könnte das zu wenig sein.",EU reservierte bisher weniger Impfdosen als USA und Großbritannien,http://www.zeit.de/wirtschaft/2020-09/corona-impfstoff-usa-eu-deutschland-impfdosen
22,Hersteller rechnen mit Impfstoffkosten zwischen 5 und 15 Euro,2020-09-22T13:44:09Z," nicht sagen. Die Forschung sei noch nicht weit genug, um etwa die genaue Dosierung des Wirkstoffes zu kennen.
Die EU-Kommission hatte mit den Herstellern Sanofi und GSK sowie mit <em>AstraZeneca</em>",Der Europäische Pharmaverband benennt einen Preiskorridor pro Dosis eines noch zu entwickelnden Impfstoffs. Ein reduzierter Preis soll für Entwicklungsländer gelten.,Hersteller rechnen mit Impfstoffkosten zwischen 5 und 15 Euro,http://www.zeit.de/wirtschaft/2020-09/pharmaverband-corona-impfstoff-kosten-dosis-efpia
23,Zulassungsprozess für Impfstoffkandidat von BioNTech beginnt,2020-10-06T10:32:54Z," das erste deutsche Unternehmen und mit <em>AstraZeneca</em> das zweite insgesamt, das bei der EMA für diesen Prozess zugelassen wurde.
Im April hatte BioNTech als erstes deutsches Unternehmen vom zuständigen",Als erstes deutsches Unternehmen wird die Mainzer Firma bei der europäischen Arzneimittelbehörde für diesen Prozess zugelassen. Nun muss sich der Wirkstoff bewähren.,Zulassungsprozess für Impfstoffkandidat von BioNTech beginnt,http://www.zeit.de/wissen/gesundheit/2020-10/corona-impfstoff-zulassung-biontech-coronavirus-pfizer
24,Johnson & Johnson pausiert Studie zu Corona-Impfstoff,2020-10-13T09:28:02Z," worden. Die Studie von <em>AstraZeneca</em> und der Universität Oxford pausiert in den USA weiterhin, während untersucht wird, ob eine Krankheit als Sicherheitsrisiko einzustufen ist. Eine Frau hatte schwere","Der US-Pharmakonzern untersucht einen Krankheitsfall unter den Studienteilnehmern. Bislang sei ungeklärt, ob er ein Placebo oder den Impfstoff erhalten hat.",Johnson & Johnson pausiert Studie zu Corona-Impfstoff,http://www.zeit.de/wirtschaft/unternehmen/2020-10/impfstoff-coronavirus-johnson-und-johnson-unterbrechung-studie
25,Wer wird geimpft? Und wer nicht?,2020-10-28T15:49:12Z,". Seit ein paar Tagen ist China dabei, und eine Allianz von 16 führenden Pharmaunternehmen, darunter der aktuell vielversprechende britische Produzent <em>AstraZeneca</em>, hat sich verpflichtet, die Plattform zu","Der Corona-Impfstoff wird anfangs knapp sein. Nun sind die Ethiker gefragt: Wer bekommt das kostbare Gut zuerst? Und was hieße gar, ihn gerecht zu verteilen?",Wer wird geimpft? Und wer nicht?,http://www.zeit.de/2020/45/corona-impfstoff-verteilung-ethikfrage
26,Der gute Stoff,2020-11-11T15:53:05Z," ist nicht das einzige Unternehmen, das mit großen Erfolgsaussichten an Impfstoffen arbeitet. Moderna aus den USA und <em>AstraZeneca</em> aus Großbritannien werden wohl auch bald Ergebnisse vorlegen können. Auch","Das Mainzer Start-up BioNTech hat Hoffnungen geweckt, dass die Pandemie bald beendet sein könnte. Doch nun geht nicht nur die Jagd nach dem Impfstoff erst richtig los.",Der gute Stoff,http://www.zeit.de/2020/47/biontech-corona-impfstoff-start-up-pandemie
27,BioNTech meldet 90-prozentige Wirksamkeit von Impfstoff,2020-11-09T12:04:23Z, britische Arzneimittelhersteller <em>AstraZeneca</em> und der US-Biotechkonzern Moderna zum Kreis der führenden Unternehmen im Rennen um einen Impfstoff. Nach Schätzung der Weltgesundheitsorganisation WHO befinden,"Laut Zwischenergebnissen der Zulassungsstudie senkt der Impfkandidat der Mainzer Firma das Risiko, an Covid-19 zu erkranken, deutlich. Das wäre ein Durchbruch.",BioNTech meldet 90-prozentige Wirksamkeit von Impfstoff,http://www.zeit.de/wirtschaft/unternehmen/2020-11/corona-impfstoff-biontech-pfizer-usa-zulassungsantrag
28,BioNTechs Corona-Impfstoff hat Wirksamkeit von 95 Prozent,2020-11-18T17:00:47Z, stellen – genau wie auch anderen Zulassungsbehörden weltweit. Wie auch das US-Unternehmen Moderna und das britisch-schwedische Unternehmen <em>AstraZeneca</em> haben BioNTech und Pfizer das Rolling-Review-Verfahren,Die Impfung von BioNTech und Pfizer ist neuen Daten zufolge effektiver als gedacht. Sie soll auch ältere Menschen gut schützen – und keine ernsten Nebenwirkungen zeigen.,BioNTechs Corona-Impfstoff hat Wirksamkeit von 95 Prozent,http://www.zeit.de/wissen/gesundheit/2020-11/coronavirus-impfstoff-biontech-wirksamkeit-pandemie-startup
29,"Ein Schnellschuss, der Vertrauen kostet",2020-11-27T18:59:52Z,"Was hat es auf sich mit den Nachrichten rund um den Impfstoff der Firma <em>AstraZeneca</em> in den vergangenen Tagen? Wirkt diese Vakzine nun oder nicht, haben die Forscher oder die Firma bei ihren Daten","Ungenaue Wirksamkeitsangaben, Dosierungsfehler und missglückte PR: Die Präsentation des Impfstoffs von AstraZeneca ging schief. Dabei ist das Mittel vielversprechend.","Ein Schnellschuss, der Vertrauen kostet",http://www.zeit.de/wissen/gesundheit/2020-11/astrazeneca-corona-impfung-wirksamkeit-studie-vertrauen
30,Einsam rieselt der Schnee,2020-11-27T16:02:56Z," Österreichressorts der ZEIT, darüber. 
Nicht nur der recht intransparente Umgang der EU mit den Impfstoffverträgen wird derzeit diskutiert. Auch der Corona-Impfstoff, den das Pharmaunternehmen <em>AstraZeneca</em>","Deutschland, Italien und Frankreich wollen Skigebiete bis Januar schließen, Österreich und die Schweiz sind dagegen. Über die Gründe Österreichs reden wir im Podcast.",Einsam rieselt der Schnee,http://www.zeit.de/politik/2020-11/skisaison-corona-zeiten-oesterreich-nachrichtenpodcast
31,Die undurchsichtigen Impfstoffverträge der EU,2020-11-27T04:58:11Z,Johnson & Johnson. Sanofi-GSK. <em>AstraZeneca</em>. BioNTech und Pfizer. CureVac. Moderna. Mit diesen Pharmaherstellern hat die Europäische Union bereits Verträge über die Lieferung eines möglichen Corona,"Die EU hat bereits mit sechs Herstellern Verträge über Impfstofflieferungen geschlossen. Fast niemand weiß, was drinsteht. Außerdem: Was macht Sergej Lawrow in Minsk?",Die undurchsichtigen Impfstoffverträge der EU,http://www.zeit.de/politik/2020-11/europaeische-union-impfstoff-vertraege-hersteller-nachrichtenpodcast
32,Die Rechnung für den Sieg über das Virus,2020-11-27T04:42:18Z," britische Impfstoffhersteller <em>AstraZeneca</em> seinen Impfstoff nach Berichten von Industrieseite für drei bis vier Dollar pro Dosis an die EU-Kommission verkaufen, das US-Unternehmen Moderna verlangt dagegen",Die EU schließt einen Impfstoffvertrag nach dem anderen. Ist das der Durchbruch gegen Corona? Kritiker warnen vor ausufernden Kosten und dem Einfluss der Pharmaindustrie.,Die Rechnung für den Sieg über das Virus,http://www.zeit.de/politik/ausland/2020-11/corona-impfstoff-vertraege-eu-kommission-pandemie-pharma-industrie
33,EU schließt Impfstoff-Vertrag auch mit Moderna ab,2020-11-24T16:55:18Z," Anbietern Johnson&Johnson, Sanofi-GSK und <em>AstraZeneca</em>, Pfizer-Biontech und Curevac geschlossen.
Insgesamt sicherte sich die Kommission in Brüssel bislang mehr als 1,3 Milliarden Dosen, mit Optionen wären es",Die Vakzine des US-Konzerns zählen zu den aussichtsreichsten – und sind künftig auch in der EU zu haben. Die Brüsseler Kommission schließt den sechsten Impfstoffvertrag.,EU schließt Impfstoff-Vertrag auch mit Moderna ab,http://www.zeit.de/wirtschaft/2020-11/corona-impfstoff-eu-moderna-pharmakonzern
34,Update: Silvester ohne Feuerwerk?,2020-11-23T16:32:38Z," <em>AstraZeneca</em> ein weiteres Unternehmen positive Daten zu seiner Impfstoff-Forschung präsentiert.
Weitere Themen: Die Luft in der EU ist sauberer geworden. Und: Frankreichs Ex-Präsident Sarkozy steht vor Gericht",Die Debatte um das Silvesterfeuerwerk findet dieses Jahr wegen Corona unter neuen Vorzeichen statt. Außerdem: weitere gute Nachrichten von der Impfstoff-Baustelle.,Update: Silvester ohne Feuerwerk?,http://www.zeit.de/politik/2020-11/corona-silvester-feuerwerksverbot-massnahmen-nachrichtenpodcast
35,Auch AstraZeneca meldet Studienerfolg für hauseigenen Impfstoff,2020-11-23T14:42:34Z,Der von der Universität Oxford und dem Pharmaunternehmen <em>AstraZeneca</em> entwickelte Corona-Impfstoff erreicht nach vorläufigen Studien eine Wirksamkeit von bis zu 90 Prozent. Allerdings unterscheidet,Auf der Suche nach einem Corona-Impfstoff erzielten nun auch AstraZeneca und die Uni Oxford einen Durchbruch: Beide meldeten eine Wirksamkeit von bis zu 90 Prozent.,Auch AstraZeneca meldet Studienerfolg für hauseigenen Impfstoff,http://www.zeit.de/wissen/gesundheit/2020-11/corona-impfstoff-astrazeneca-wirksamkeit-biontech-pfizer-curevac
36,Eine Frage der Kühlung,2020-11-23T13:43:22Z, Firmeninformationen sogar 30 Tage lang bei Kühlschranktemperatur halten. Noch einfacher zu handhaben sollen die Impfstoffe von Curevac aus Tübingen und die des Pharmaunternehmens <em>AstraZeneca</em> in Zusammenarbeit mit der,"Der erste Corona-Impfstoff, den Deutschland bekommen soll, muss in Super-Kühlschränken bei minus 70 Grad eingefroren werden. Wird das zum Problem bei der Verteilung?",Eine Frage der Kühlung,http://www.zeit.de/wissen/gesundheit/2020-11/corona-impfstoff-kuehlung-temperatur-trockeneis-biontech
37,Zweifel an Lockerungen über die Feiertage nehmen zu,2020-12-05T17:00:18Z," mit einer ""gewissen Wahrscheinlichkeit"" bis zur Jahresmitte zugelassen würden. Dazu zählte er neben den Entwicklungen von BioNtech/Pfizer und Moderna auch die Produkte von Curevac, <em>AstraZeneca</em> sowie","Fünf Wochen dauert der Teil-Lockdown – doch die Infektionszahlen gehen nicht zurück. Mehrere Politiker fordern, die Lockerungen über die Feiertage wieder zurückzunehmen.",Zweifel an Lockerungen über die Feiertage nehmen zu,http://www.zeit.de/politik/deutschland/2020-12/kontaktbeschraenkungen-deutschland-union-spd-lockerungen-feiertage
38,Die Brexiteers entdecken Corona,2020-12-01T14:42:09Z," die britische Behörde MHRA ausübt, damit der neue Impfstoff, den die Oxford University und <em>AstraZeneca</em> entwickelt haben, in den nächsten Tagen genehmigt wird und die Regierung im Dezember das geplante",Boris Johnson hat ein Problem: Rechte Konservative wollen neue Corona-Beschränkungen für Großbritannien im Parlament verhindern. Jetzt hofft der Premier auf den Impfstoff,Die Brexiteers entdecken Corona,http://www.zeit.de/politik/ausland/2020-12/corona-krise-grossbritannien-weihnachten-lockdown-wirtschaftskrise-boris-johnson
39,Die Mythen um den Corona-Impfstoff,2020-12-01T04:54:11Z,"/Pfizer bieten, ein Vakzin des britisch-schwedische Pharmakonzerns <em>AstraZeneca</em> vermeldet immerhin mindestens 70 Prozent Wirksamkeit. Alle Hoffnungen richten sich nun darauf, dass die Impfstoffe dazu",Sogenannte mRNA-Impfstoffe stehen kurz vor der Zulassung – und das bereits innerhalb eines Jahres. Doch wie sicher sind sie? Und: Eine Doku über Baseballschlägerjahre,Die Mythen um den Corona-Impfstoff,http://www.zeit.de/politik/2020-11/corona-impfungen-impfstoff-baseballschlaegerjahre-neonazis-dokumentation-nachrichtenpodcast
40,"Was die Impfung kann, die Deutschland bekommen soll",2020-12-12T04:01:11Z," man vergleichen, ob in der Gruppe der Geimpften weniger solcher asymptomatischen Fälle auftreten als in der Placebogruppe.
BioNTech hat derartige Daten nicht erhoben. Anders als etwa <em>AstraZeneca</em>, das",Am 21. Dezember könnte Europa die erste Corona-Impfung zulassen. Dann kann in Deutschland geimpft werden. Wie gut schützt die Impfung und welche Nebenwirkungen gibt es?,"Was die Impfung kann, die Deutschland bekommen soll",http://www.zeit.de/wissen/gesundheit/2020-12/corona-impfstoff-biontech-usa-wirksamkeit-nebenwirkungen-europa-faq
41,Expertenstab der US-Arzneimittelbehörde empfiehlt BioNTech-Zulassung,2020-12-10T22:48:20Z," kommenden Donnerstag diskutieren.
Ebenfalls im Rennen ist ein Impfstoff des Pharmakonzerns <em>AstraZeneca</em>, mit dessen Zulassung jedoch frühestens Mitte nächsten Jahres gerechnet wird, nachdem Datenpannen und",Der Corona-Impfstoff des Mainzer Unternehmens BioNTech und des US-Pharmakonzerns Pfizer steht auch in den USA kurz vor der Notzulassung. Spitzenberater stimmten dafür.,Expertenstab der US-Arzneimittelbehörde empfiehlt BioNTech-Zulassung,http://www.zeit.de/wissen/gesundheit/2020-12/beratergremium-der-us-arzneimittelbehoerde-empfiehlt-biontech-zulassung
42,Impfe und herrsche,2020-12-09T15:53:05Z," wirksamer Stoffe zu sichern. Die EU handelte sechs Verträge über insgesamt rund 1,3 Milliarden Impfstoffdosen aus: mit BioNTech/Pfizer, Moderna, <em>AstraZeneca</em>, Johnson & Johnson, Sanofi/GlaxoSmithKline und","Europa, die USA, China und Russland wetteifern darum, das drängendste Problem der Welt zu lösen und damit ihren Einfluss auszubauen. Wessen Strategie geht auf?",Jetzt kommt die Macht aus den Reagenzgläsern,http://www.zeit.de/2020/52/corona-impfung-strategie-gesundheitssystem-europa-usa-china-russland
43,Britische Behörde rät starken Allergikern vorerst von Impfung ab,2020-12-09T12:13:26Z, Pharmakonzern <em>AstraZeneca</em> gemeinsam mit der Universität Oxford sowie die US-Firma Moderna Impfstoffe entwickelt.,"Die ersten Briten haben sich gegen Sars-CoV-2 impfen lassen. Wer eine ""signifikante"" Allergiegeschichte habe, solle davon absehen, warnt die nationale Gesundheitsbehörde.",Britische Behörde rät starken Allergikern vorerst von Impfung ab,http://www.zeit.de/wissen/gesundheit/2020-12/corona-impfung-grossbritannien-allergie-coronavirus-impstoff
44,Der große Impfplan,2020-12-07T10:33:21Z," Impfstoff mRNA-1237 der Firma Moderna. Die Behörde hat angekündigt, am 6. Januar zu der entscheidenden Beratung zusammenzutreffen.
Eine Zulassung beantragt haben zudem die Universität Oxford und <em>AstraZeneca</em>",Die Impfungen gegen Corona können endlich starten. Wer kommt zuerst dran – wer muss warten? Und wo gibt es Termine? Die wichtigsten Fakten und eine Karte der Impfzentren,Der große Impfplan,http://www.zeit.de/wissen/gesundheit/2020-12/corona-impfzentrum-deutschland-aktuell-impfung-karte
